seed,modelo,t_s,coverage
45,LSTM-Baseline,6.10640,1.00000
45,LSTM-Baseline,6.14050,1.00000
45,LSTM-Baseline,6.17460,1.00000
45,LSTM-Baseline,6.20870,1.00000
45,LSTM-Baseline,6.24280,1.00000
45,LSTM-Baseline,6.27690,1.00000
45,LSTM-Baseline,6.31100,1.00000
45,LSTM-Baseline,6.34520,1.00000
45,LSTM-Baseline,6.37930,1.00000
45,LSTM-Baseline,6.41340,1.00000
45,LSTM-Baseline,6.44750,1.00000
45,LSTM-Baseline,6.48160,1.00000
45,LSTM-Baseline,6.51570,1.00000
45,LSTM-Baseline,6.54980,1.00000
45,LSTM-Baseline,6.58390,1.00000
45,LSTM-Baseline,6.61810,1.00000
45,LSTM-Baseline,6.65220,1.00000
45,LSTM-Baseline,6.68630,1.00000
45,LSTM-Baseline,6.72040,1.00000
45,LSTM-Baseline,6.75450,1.00000
45,LSTM-Baseline,6.78860,1.00000
45,LSTM-Baseline,6.82270,1.00000
45,LSTM-Baseline,6.85690,1.00000
45,LSTM-Baseline,6.89100,1.00000
45,LSTM-Baseline,6.92510,1.00000
45,LSTM-Baseline,6.95920,1.00000
45,LSTM-Baseline,6.99330,1.00000
45,LSTM-Baseline,7.02740,1.00000
45,LSTM-Baseline,7.06150,1.00000
45,LSTM-Baseline,7.09570,1.00000
45,LSTM-Baseline,7.12980,1.00000
45,LSTM-Baseline,7.16390,1.00000
45,LSTM-Baseline,7.19800,1.00000
45,LSTM-Baseline,7.23210,1.00000
45,LSTM-Baseline,7.26620,1.00000
45,LSTM-Baseline,7.30030,1.00000
45,LSTM-Baseline,7.33440,1.00000
45,LSTM-Baseline,7.36860,1.00000
45,LSTM-Baseline,7.40270,1.00000
45,LSTM-Baseline,7.43680,1.00000
45,LSTM-Baseline,7.47090,1.00000
45,LSTM-Baseline,7.50500,1.00000
45,LSTM-Baseline,7.53910,1.00000
45,LSTM-Baseline,7.57320,1.00000
45,LSTM-Baseline,7.60740,1.00000
45,LSTM-Baseline,7.64150,1.00000
45,LSTM-Baseline,7.67560,1.00000
45,LSTM-Baseline,7.70970,1.00000
45,LSTM-Baseline,7.74380,1.00000
45,LSTM-Baseline,7.77790,1.00000
45,LSTM-Baseline,7.81200,1.00000
45,LSTM-Baseline,7.84620,1.00000
45,LSTM-Baseline,7.88030,1.00000
45,LSTM-Baseline,7.91440,1.00000
45,LSTM-Baseline,7.94850,1.00000
45,LSTM-Baseline,7.98260,1.00000
45,LSTM-Baseline,8.01670,1.00000
45,LSTM-Baseline,8.05080,1.00000
45,LSTM-Baseline,8.08490,1.00000
45,LSTM-Baseline,8.11910,1.00000
45,LSTM-Baseline,8.15320,1.00000
45,LSTM-Baseline,8.18730,1.00000
45,LSTM-Baseline,8.22140,1.00000
45,LSTM-Baseline,8.25550,1.00000
45,LSTM-Baseline,8.28960,1.00000
45,LSTM-Baseline,8.32370,1.00000
45,LSTM-Baseline,8.35790,1.00000
45,LSTM-Baseline,8.39200,1.00000
45,LSTM-Baseline,8.42610,1.00000
45,LSTM-Baseline,8.46020,1.00000
45,LSTM-Baseline,8.49430,1.00000
45,LSTM-Baseline,8.52840,1.00000
45,LSTM-Baseline,8.56250,1.00000
45,LSTM-Baseline,8.59670,1.00000
45,LSTM-Baseline,8.63080,1.00000
45,LSTM-Baseline,8.66490,1.00000
45,LSTM-Baseline,8.69900,1.00000
45,LSTM-Baseline,8.73310,1.00000
45,LSTM-Baseline,8.76720,1.00000
45,LSTM-Baseline,8.80130,1.00000
45,LSTM-Baseline,8.83550,1.00000
45,LSTM-Baseline,8.86960,1.00000
45,LSTM-Baseline,8.90370,1.00000
45,LSTM-Baseline,8.93780,1.00000
45,LSTM-Baseline,8.97190,1.00000
45,LSTM-Baseline,9.00600,1.00000
45,LSTM-Baseline,9.04010,1.00000
