seed,lam,split,theta,FR,TTDef,SupPct,F1
44,0.001,val,0.05,0.0,0.0,85.57692170143127,0.8695652173913043
44,0.001,val,0.1,0.0,0.019097222222222224,85.57692170143127,1.0
44,0.001,val,0.15,0.0,0.01996527777777778,85.57692170143127,1.0
44,0.001,val,0.2,0.0,0.026041666666666668,85.57692170143127,1.0
44,0.001,val,0.3,0.0,0.08854166666666667,85.57692170143127,1.0
44,0.001,val,0.5,0.0,0.3984375,85.57692170143127,1.0
44,0.001,test,0.05,0.0,0.0,85.6488823890686,0.8664259927797834
44,0.001,test,0.1,0.0,0.013020833333333334,85.6488823890686,0.9836065573770492
44,0.001,test,0.15,0.0,0.013020833333333334,85.6488823890686,1.0
44,0.001,test,0.2,0.0,0.014756944444444446,85.6488823890686,1.0
44,0.001,test,0.3,0.0,0.04774305555555556,85.6488823890686,1.0
44,0.001,test,0.5,0.0,0.35763888888888895,85.6488823890686,1.0
44,0.005,val,0.05,0.0,0.0,93.46954822540283,0.8695652173913043
44,0.005,val,0.1,0.0,0.1267361111111111,93.46954822540283,0.9486166007905138
44,0.005,val,0.15,0.0,0.2934027777777778,93.46954822540283,0.9876543209876543
44,0.005,val,0.2,0.0,0.2994791666666667,93.46954822540283,0.9876543209876543
44,0.005,val,0.3,0.0,0.3411458333333333,93.46954822540283,1.0
44,0.005,val,0.5,0.008333333333333333,0.7573529411764706,93.46954822540283,0.99581589958159
44,0.005,test,0.05,0.0,0.0,93.51114630699158,0.8664259927797834
44,0.005,test,0.1,0.0,0.13020833333333334,93.51114630699158,0.9302325581395349
44,0.005,test,0.15,0.0,0.2960069444444445,93.51114630699158,0.9917355371900827
44,0.005,test,0.2,0.0,0.30034722222222227,93.51114630699158,0.9917355371900827
44,0.005,test,0.3,0.0,0.3411458333333333,93.51114630699158,1.0
44,0.005,test,0.5,0.016666666666666666,0.8022598870056497,93.51114630699158,0.9915966386554622
45,1e-05,val,0.05,0.0,0.0,5.53552508354187,0.8695652173913043
45,1e-05,val,0.1,0.0,0.0,5.53552508354187,1.0
45,1e-05,val,0.15,0.0,0.0,5.53552508354187,1.0
45,1e-05,val,0.2,0.0,0.0008680555555555556,5.53552508354187,1.0
45,1e-05,val,0.3,0.0,0.035590277777777776,5.53552508354187,1.0
45,1e-05,val,0.5,0.0,0.3125,5.53552508354187,1.0
45,1e-05,test,0.05,0.0,0.0,5.646228790283203,0.8695652173913043
45,1e-05,test,0.1,0.0,0.0017361111111111112,5.646228790283203,1.0
45,1e-05,test,0.15,0.0,0.0017361111111111112,5.646228790283203,1.0
45,1e-05,test,0.2,0.0,0.00607638888888889,5.646228790283203,1.0
45,1e-05,test,0.3,0.0,0.05381944444444445,5.646228790283203,1.0
45,1e-05,test,0.5,0.0,0.3289930555555555,5.646228790283203,1.0
45,5e-05,val,0.05,0.0,0.0,49.966615438461304,0.8695652173913043
45,5e-05,val,0.1,0.0,0.0,49.966615438461304,1.0
45,5e-05,val,0.15,0.0,0.0,49.966615438461304,1.0
45,5e-05,val,0.2,0.0,0.0026041666666666665,49.966615438461304,1.0
45,5e-05,val,0.3,0.0,0.03125,49.966615438461304,1.0
45,5e-05,val,0.5,0.0,0.3324652777777778,49.966615438461304,1.0
45,5e-05,test,0.05,0.0,0.0,50.43126344680786,0.8664259927797834
45,5e-05,test,0.1,0.0,0.0,50.43126344680786,1.0
45,5e-05,test,0.15,0.0,0.0,50.43126344680786,1.0
45,5e-05,test,0.2,0.0,0.0017361111111111112,50.43126344680786,1.0
45,5e-05,test,0.3,0.0,0.026041666666666668,50.43126344680786,1.0
45,5e-05,test,0.5,0.0,0.34722222222222227,50.43126344680786,1.0
