tau_delta,tau_h,fr_val,ttdef_val,skip_pct,feasible,seed
0.025621,0.7,0.0,0.0703,70.13,False,42
0.02678,0.05,0.0,0.0373,51.07,False,42
0.02678,0.08,0.0,0.0408,51.62,False,42
0.02678,0.1,0.0,0.046,54.51,False,42
0.02678,0.12,0.0,0.053,58.34,False,42
0.02678,0.15,0.0,0.0538,60.2,False,42
0.02678,0.18,0.0,0.0556,61.52,False,42
0.02678,0.2,0.0,0.0556,62.22,False,42
0.02678,0.25,0.0,0.0634,64.05,False,42
0.02678,0.3,0.0,0.0686,65.5,False,42
0.02678,0.35,0.0,0.079,66.51,False,42
0.02678,0.4,0.0,0.0799,67.18,False,42
0.02678,0.5,0.0,0.0825,68.82,False,42
0.02678,0.7,0.0,0.0825,72.02,False,42
0.028036,0.05,0.0,0.0417,52.35,False,42
0.028036,0.08,0.0,0.0451,52.9,False,42
0.028036,0.1,0.0,0.0538,55.92,False,42
0.028036,0.12,0.0,0.0608,59.99,False,42
0.028036,0.15,0.0,0.0616,61.97,False,42
0.028036,0.18,0.0,0.0616,63.27,False,42
0.028036,0.2,0.0,0.066,63.99,False,42
0.028036,0.25,0.0,0.0738,65.86,False,42
0.028036,0.3,0.0,0.0799,67.34,False,42
0.028036,0.35,0.0,0.0929,68.36,False,42
0.028036,0.4,0.0,0.0938,69.11,False,42
0.028036,0.5,0.0,0.0981,70.76,False,42
0.028036,0.7,0.0,0.0981,73.94,False,42
0.029346,0.05,0.0,0.0451,53.7,False,42
0.029346,0.08,0.0,0.0486,54.26,False,42
0.029346,0.1,0.0,0.0616,57.59,False,42
0.029346,0.12,0.0,0.072,61.63,False,42
0.029346,0.15,0.0,0.0755,63.66,False,42
0.029346,0.18,0.0,0.0755,65.01,False,42
0.029346,0.2,0.0,0.0807,65.86,False,42
0.029346,0.25,0.0,0.092,67.76,False,42
0.029346,0.3,0.0,0.0998,69.2,False,42
0.029346,0.35,0.0,0.1128,70.23,False,42
0.029346,0.4,0.0,0.1137,70.99,False,42
0.029346,0.5,0.0,0.1181,72.71,False,42
0.029346,0.7,0.0,0.1181,75.86,False,42
0.03081,0.05,0.0,0.0512,55.07,False,42
0.03081,0.08,0.0,0.0573,55.7,False,42
0.03081,0.1,0.0,0.0703,59.1,False,42
0.03081,0.12,0.0,0.0807,63.49,False,42
0.03081,0.15,0.0,0.0842,65.58,False,42
0.03081,0.18,0.0,0.0842,67.0,False,42
0.03081,0.2,0.0,0.0894,67.83,False,42
0.03081,0.25,0.0,0.0972,69.69,False,42
0.03081,0.3,0.0,0.1068,71.19,False,42
0.03081,0.35,0.0,0.1198,72.26,False,42
0.03081,0.4,0.0,0.125,73.13,False,42
0.03081,0.5,0.0,0.1224,74.8,False,42
0.03081,0.7,0.0,0.1198,77.94,False,42
0.032418,0.05,0.0,0.0599,56.38,False,42
0.032418,0.08,0.0,0.066,57.0,False,42
0.032418,0.1,0.0,0.079,60.67,False,42
0.032418,0.12,0.0,0.0894,65.23,False,42
0.032418,0.15,0.0,0.0955,67.29,False,42
0.032418,0.18,0.0,0.0955,68.86,False,42
0.032418,0.2,0.0,0.1007,69.76,False,42
0.032418,0.25,0.0,0.1102,71.66,False,42
0.032418,0.3,0.0,0.1207,73.22,False,42
0.032418,0.35,0.0,0.1337,74.38,False,42
0.032418,0.4,0.0,0.1389,75.17,False,42
0.032418,0.5,0.0,0.1441,76.89,False,42
0.032418,0.7,0.0,0.1398,80.02,False,42
0.034291,0.05,0.0,0.0773,57.81,False,42
0.034291,0.08,0.0,0.0833,58.44,False,42
0.034291,0.1,0.0,0.0964,62.31,False,42
0.034291,0.12,0.0,0.1163,67.18,False,42
0.034291,0.15,0.0,0.1267,69.25,False,42
0.034291,0.18,0.0,0.1267,70.79,False,42
0.034291,0.2,0.0,0.1337,71.77,False,42
0.034291,0.25,0.0,0.145,73.73,False,42
0.034291,0.3,0.0,0.151,75.12,False,42
0.034291,0.35,0.0,0.1701,76.3,False,42
0.034291,0.4,0.0,0.1727,77.06,False,42
0.034291,0.5,0.0,0.1684,78.81,False,42
0.034291,0.7,0.0,0.1545,81.98,False,42
0.036457,0.05,0.0,0.0981,59.4,False,42
0.036457,0.08,0.0,0.1042,60.04,False,42
0.036457,0.1,0.0,0.1172,63.96,False,42
0.036457,0.12,0.0,0.1372,69.08,False,42
0.036457,0.15,0.0,0.1519,71.15,False,42
0.036457,0.18,0.0,0.1519,72.67,False,42
0.036457,0.2,0.0,0.1545,73.66,False,42
0.036457,0.25,0.0,0.1658,75.74,False,42
0.036457,0.3,0.0,0.1727,77.08,False,42
0.036457,0.35,0.0,0.1997,78.29,False,42
0.036457,0.4,0.0,0.204,79.04,False,42
0.036457,0.5,0.0,0.2005,80.79,False,42
0.036457,0.7,0.0,0.1823,83.96,False,42
