seed,dur_frames,dur_s,arm,FR,TTDef,SupPct,F1
43,31,3.229,matched,0.0,0.0,49.53926205635071,0.995850622406639
43,31,3.229,maxsup,0.0,0.03125,93.05555820465088,0.933852140077821
43,42,4.375,matched,0.0,0.0,48.864853382110596,0.995850622406639
43,42,4.375,maxsup,0.0,0.04774305555555556,93.04887652397156,0.933852140077821
43,50,5.208,matched,0.008333333333333333,0.0859593837535014,50.140225887298584,0.995850622406639
43,50,5.208,maxsup,0.025,0.36396011396011396,93.44283938407898,0.933852140077821
44,2,0.208,matched,0.0,0.09453781512605042,48.036861419677734,0.99581589958159
44,2,0.208,maxsup,0.0,0.36239495798319327,94.22408938407898,0.9407114624505929
44,6,0.625,matched,0.0,0.0008680555555555556,45.43936848640442,1.0
44,6,0.625,maxsup,0.0,0.29253472222222227,93.99038553237915,0.9448818897637795
44,10,1.042,matched,0.0,0.0,44.27751302719116,1.0
44,10,1.042,maxsup,0.0,0.23611111111111113,93.70325803756714,0.9448818897637795
44,14,1.458,matched,0.0,0.0,43.40277910232544,1.0
44,14,1.458,maxsup,0.0,0.1805555555555556,93.26255321502686,0.9448818897637795
44,18,1.875,matched,0.0,0.0,43.10229420661926,1.0
44,18,1.875,maxsup,0.0,0.12065972222222224,93.08894276618958,0.9448818897637795
44,22,2.292,matched,0.0,0.0,43.763357400894165,1.0
44,22,2.292,maxsup,0.0,0.06423611111111112,92.98210144042969,0.9448818897637795
44,31,3.229,matched,0.0,0.0,44.19738054275513,1.0
44,31,3.229,maxsup,0.0,0.0,92.99545884132385,0.9448818897637795
44,42,4.375,matched,0.0,0.0,43.4495210647583,1.0
44,42,4.375,maxsup,0.0,0.0,93.02884340286255,0.9448818897637795
44,50,5.208,matched,0.016666666666666666,0.16666666666666666,45.24572491645813,1.0
44,50,5.208,maxsup,0.008333333333333333,0.1017156862745098,93.40945482254028,0.9448818897637795
45,2,0.208,matched,0.0,0.11284722222222224,65.49144983291626,1.0
45,2,0.208,maxsup,0.0,0.7890625,94.39102411270142,0.9486166007905138
45,6,0.625,matched,0.0,0.02430555555555556,63.42815160751343,1.0
45,6,0.625,maxsup,0.0,0.6050347222222222,94.1773533821106,0.9486166007905138
45,10,1.042,matched,0.0,0.004340277777777778,60.71714758872986,1.0
45,10,1.042,maxsup,0.0,0.4513888888888889,93.8034176826477,0.9486166007905138
45,14,1.458,matched,0.0,0.0,59.107905626297,1.0
45,14,1.458,maxsup,0.0,0.29253472222222227,93.60309839248657,0.9486166007905138
45,18,1.875,matched,0.0,0.0,57.912659645080566,1.0
45,18,1.875,maxsup,0.0,0.16666666666666666,93.50961446762085,0.9486166007905138
45,22,2.292,matched,0.0,0.0,57.15811848640442,1.0
45,22,2.292,maxsup,0.0,0.08767361111111112,93.38274598121643,0.9486166007905138
45,31,3.229,matched,0.0,0.0,56.09642267227173,1.0
45,31,3.229,maxsup,0.0,0.03732638888888889,93.4495210647583,0.9486166007905138
45,42,4.375,matched,0.0,0.0,56.149840354919434,1.0
45,42,4.375,maxsup,0.0,0.02170138888888889,93.42948794364929,0.9486166007905138
45,50,5.208,matched,0.016666666666666666,0.17108050847457626,59.24144983291626,1.0
45,50,5.208,maxsup,0.0,0.05642361111111111,93.7166154384613,0.9486166007905138
