Seed,config_id,episodio_idx,Tipo,Omissao,TTDef
52,aftkd_fixed,54,Progressive,False,0.0
52,aftkd_fixed,55,Abrupt,False,0.0
52,aftkd_fixed,56,Abrupt,False,0.0
52,aftkd_fixed,57,Abrupt,False,0.0
52,aftkd_fixed,58,Progressive,False,0.0
52,aftkd_fixed,59,Abrupt,False,0.0
52,aftkd_fixed,60,Abrupt,False,0.0
52,aftkd_fixed,61,Progressive,False,0.0
52,aftkd_fixed,62,Progressive,False,0.0
52,aftkd_fixed,63,Abrupt,False,0.0
52,aftkd_fixed,64,Progressive,False,0.0
52,aftkd_fixed,65,Progressive,False,0.0
52,aftkd_fixed,66,Progressive,False,0.0
52,aftkd_fixed,67,Abrupt,False,0.0
52,aftkd_fixed,68,Abrupt,False,0.0
52,aftkd_fixed,69,Abrupt,False,0.0
52,aftkd_fixed,70,Progressive,False,0.0
52,aftkd_fixed,71,Progressive,False,0.0
52,aftkd_fixed,72,Progressive,False,0.0
52,aftkd_fixed,73,Abrupt,False,0.0
52,aftkd_fixed,74,Abrupt,False,0.0
52,aftkd_fixed,75,Progressive,False,0.0
52,aftkd_fixed,76,Progressive,False,0.0
52,aftkd_fixed,77,Progressive,False,0.0
52,aftkd_fixed,78,Abrupt,False,0.0
52,aftkd_fixed,79,Abrupt,False,0.0
52,aftkd_fixed,80,Abrupt,False,0.0
52,aftkd_fixed,81,Progressive,False,0.0
52,aftkd_fixed,82,Progressive,False,0.0
52,aftkd_fixed,83,Progressive,False,0.0
52,aftkd_fixed,84,Progressive,False,0.0
52,aftkd_fixed,85,Abrupt,False,0.0
52,aftkd_fixed,86,Progressive,False,0.0
52,aftkd_fixed,87,Abrupt,False,0.0
52,aftkd_fixed,88,Abrupt,False,0.0
52,aftkd_fixed,89,Progressive,False,0.0
52,aftkd_fixed,90,Progressive,False,0.0
52,aftkd_fixed,91,Progressive,False,0.3125
52,aftkd_fixed,92,Progressive,False,0.0
52,aftkd_fixed,93,Progressive,False,0.0
52,aftkd_fixed,94,Progressive,False,0.0
52,aftkd_fixed,95,Abrupt,False,0.0
52,aftkd_fixed,96,Abrupt,False,0.0
52,aftkd_fixed,97,Progressive,False,0.0
52,aftkd_fixed,98,Progressive,False,0.0
52,aftkd_fixed,99,Abrupt,False,0.0
52,aftkd_fixed,100,Progressive,False,0.0
52,aftkd_fixed,101,Progressive,False,0.0
52,aftkd_fixed,102,Progressive,False,0.0
52,aftkd_fixed,103,Abrupt,False,0.0
52,aftkd_fixed,104,Abrupt,False,0.0
52,aftkd_fixed,105,Progressive,False,0.1042
52,aftkd_fixed,106,Progressive,False,0.0
52,aftkd_fixed,107,Progressive,False,0.0
52,aftkd_fixed,108,Abrupt,False,0.0
52,aftkd_fixed,109,Progressive,False,0.0
52,aftkd_fixed,110,Progressive,False,0.0
52,aftkd_fixed,111,Progressive,False,0.0
52,aftkd_fixed,112,Progressive,False,0.0
52,aftkd_fixed,113,Progressive,False,0.0
52,aftkd_fixed,114,Progressive,False,0.0
52,aftkd_fixed,115,Progressive,False,0.0
52,aftkd_fixed,116,Progressive,False,0.0
52,aftkd_fixed,117,Abrupt,False,0.0
52,aftkd_fixed,118,Progressive,False,0.0
52,aftkd_fixed,119,Abrupt,False,0.0
52,aftkd_hybrid,0,Progressive,False,0.0
52,aftkd_hybrid,1,Progressive,False,0.0
52,aftkd_hybrid,2,Abrupt,False,0.0
52,aftkd_hybrid,3,Abrupt,False,0.0
52,aftkd_hybrid,4,Progressive,False,0.1042
52,aftkd_hybrid,5,Progressive,False,0.0
