Seed,config_id,Modelo,Gating,F1,Precision,Recall,ECE,FailRate,TTD,TTDef,Lat_ms,Cost_ms_per_frame,SkipPct,FailRate_Progressive,FailRate_Abrupt,TTD_Progressive,TTD_Abrupt,TTDef_Progressive,TTDef_Abrupt,N_Progressive,N_Abrupt
49,baseline_hybrid,LSTM-Baseline,True,0.3099,1.0,0.1833,0.6965,0.075,0.2928,1.0428,0.3993,0.1441,63.9,0.0,0.1875,0.4022,0.7131,0.0651,2.5881,72,48
49,aftkd_fixed,LSTM-AF-TKD,False,1.0,1.0,1.0,0.2997,0.0,0.0816,0.0816,0.4007,0.4007,0.0,0.0,0.0,1.5379,0.204,0.0,0.204,72,48
49,aftkd_hybrid,LSTM-AF-TKD,True,1.0,1.0,1.0,0.2997,0.0,0.1024,0.1024,0.4007,0.2064,48.481,0.0,0.0,1.0764,0.23,0.0174,0.23,72,48
50,baseline_fixed,LSTM-Baseline,False,0.3217,1.0,0.1917,0.6838,0.0,0.0286,0.0286,0.4276,0.4276,0.0,0.0,0.0,0.8608,0.0499,0.0087,0.0499,72,48
50,baseline_hybrid,LSTM-Baseline,True,0.3217,1.0,0.1917,0.6826,0.0,0.046,0.046,0.4276,0.1694,60.377,0.0,0.0,0.5975,0.0629,0.0333,0.0629,72,48
50,aftkd_fixed,LSTM-AF-TKD,False,1.0,1.0,1.0,0.4229,0.0,0.3889,0.3889,0.3926,0.3926,0.0,0.0,0.0,0.4355,0.931,0.0246,0.931,72,48
50,aftkd_hybrid,LSTM-AF-TKD,True,1.0,1.0,1.0,0.4229,0.0,0.4523,0.4523,0.3926,0.191,51.34,0.0,0.0,0.2098,1.0004,0.0868,1.0004,72,48
51,baseline_fixed,LSTM-Baseline,False,0.2857,1.0,0.1667,0.7104,0.0,0.0087,0.0087,0.3743,0.3743,0.0,0.0,0.0,1.3571,0.0,0.0029,0.0,72,48
51,baseline_hybrid,LSTM-Baseline,True,0.3099,1.0,0.1833,0.7022,0.0,0.0295,0.0295,0.3743,0.18,51.904,0.0,0.0,0.9635,0.0087,0.026,0.0087,72,48
51,aftkd_fixed,LSTM-AF-TKD,False,0.8177,1.0,0.6917,0.565,0.0,0.0495,0.0495,0.4055,0.4055,0.0,0.0,0.0,1.6073,0.0825,0.0,0.0825,72,48
51,aftkd_hybrid,LSTM-AF-TKD,True,0.8177,1.0,0.6917,0.5585,0.0,0.0677,0.0677,0.4055,0.2224,45.15,0.0,0.0,1.4858,0.0998,0.0087,0.0998,72,48
52,baseline_fixed,LSTM-Baseline,False,0.4,1.0,0.25,0.6932,0.0,0.263,0.263,0.3682,0.3682,0.0,0.0,0.0,0.4311,0.6576,0.0,0.6576,72,48
52,baseline_hybrid,LSTM-Baseline,True,0.4416,1.0,0.2833,0.6883,0.0,0.3073,0.3073,0.3682,0.196,46.769,0.0,0.0,0.3704,0.7487,0.013,0.7487,72,48
52,aftkd_fixed,LSTM-AF-TKD,False,0.794,1.0,0.6583,0.6064,0.0,0.0043,0.0043,0.3808,0.3808,0.0,0.0,0.0,0.612,0.0,0.0072,0.0,72,48
52,aftkd_hybrid,LSTM-AF-TKD,True,0.794,1.0,0.6583,0.5992,0.0,0.0191,0.0191,0.3808,0.2096,44.958,0.0,0.0,0.5194,0.0065,0.0246,0.0065,72,48
53,baseline_fixed,LSTM-Baseline,False,0.4516,1.0,0.2917,0.6659,0.1583,0.33,1.9134,0.367,0.367,0.0,0.0,0.3958,0.3168,1.1243,0.0101,5.0826,72,48
53,baseline_hybrid,LSTM-Baseline,True,0.4516,1.0,0.2917,0.6654,0.1583,0.3795,1.9629,0.367,0.1318,64.086,0.0,0.3958,0.2329,1.1638,0.0637,5.1221,72,48
53,aftkd_fixed,LSTM-AF-TKD,False,1.0,1.0,1.0,0.4801,0.0,0.0078,0.0078,0.3965,0.3965,0.0,0.0,0.0,1.2211,0.0,0.0058,0.0,72,48
53,aftkd_hybrid,LSTM-AF-TKD,True,1.0,1.0,1.0,0.4801,0.0,0.0078,0.0078,0.3965,0.2319,41.521,0.0,0.0,0.7595,0.0,0.0116,0.0,72,48
