seed,dur_frames,dur_s,method,compute_rate,target_rate,budget_diff,match_mode,SupPct,FSonset,FSonsetSimple,FR,TTDef,F1,valid
46,18,1.875,Baseline+MHEG (matched),0.5369,0.5271,0.0185,tau_h,46.31,0.0764,0.2098,0.0,0.467,0.1679,True
46,22,2.292,AF-TOI+MHEG (frozen),0.5222,0.5222,0.0,frozen,47.78,0.0681,0.1705,0.0,0.6007,0.481,True
46,22,2.292,Baseline+MHEG (matched),0.5312,0.5222,0.0171,tau_h,46.88,0.0792,0.1917,0.0,0.3889,0.3099,True
46,31,3.229,AF-TOI+MHEG (frozen),0.5196,0.5196,0.0,frozen,48.04,0.0694,0.1076,0.0,0.4115,0.6957,True
46,31,3.229,Baseline+MHEG (matched),0.5267,0.5196,0.0138,tau_h,47.33,0.0667,0.1068,0.0,0.3194,0.6127,True
46,42,4.375,AF-TOI+MHEG (frozen),0.5097,0.5097,0.0,frozen,49.03,0.0514,0.075,0.0,0.3021,0.9565,True
46,42,4.375,Baseline+MHEG (matched),0.512,0.5097,0.0045,tau_h,48.8,0.0653,0.0841,0.0417,0.7237,0.8462,True
46,50,5.208,AF-TOI+MHEG (frozen),0.5075,0.5075,0.0,frozen,49.25,0.0444,0.0598,0.0,0.2491,0.9958,True
46,50,5.208,Baseline+MHEG (matched),0.4983,0.5075,0.0183,tau_h,50.17,0.0542,0.0689,0.1417,1.6857,0.9091,True
47,2,0.208,AF-TOI+MHEG (frozen),0.4727,0.4727,0.0,frozen,52.73,0.0979,0.4333,0.0167,0.6319,0.7302,True
47,2,0.208,Baseline+MHEG (matched),0.4819,0.4727,0.0195,tau_h,51.81,0.0326,0.3303,0.0167,0.7934,0.0165,True
47,6,0.625,AF-TOI+MHEG (frozen),0.4915,0.4915,0.0,frozen,50.85,0.0674,0.3545,0.0,0.566,0.7302,True
47,6,0.625,Baseline+MHEG (matched),0.4964,0.4915,0.0101,tau_h,50.36,0.0042,0.2189,0.0,0.4062,0.08,True
47,10,1.042,AF-TOI+MHEG (frozen),0.498,0.498,0.0,frozen,50.2,0.0797,0.3008,0.0,0.6024,0.7817,True
47,10,1.042,Baseline+MHEG (matched),0.4937,0.498,0.0086,tau_h,50.63,0.0208,0.1848,0.0,0.4392,0.125,True
47,14,1.458,AF-TOI+MHEG (frozen),0.5015,0.5015,0.0,frozen,49.85,0.0986,0.2848,0.0,0.6302,0.794,True
47,14,1.458,Baseline+MHEG (matched),0.5045,0.5015,0.0061,tau_h,49.55,0.0486,0.1788,0.0,0.3724,0.1395,True
47,18,1.875,AF-TOI+MHEG (frozen),0.504,0.504,0.0,frozen,49.6,0.0792,0.2265,0.0,0.5738,0.8293,True
47,18,1.875,Baseline+MHEG (matched),0.5025,0.504,0.0029,tau_h,49.75,0.0611,0.1598,0.0,0.3151,0.1955,True
